101,2010,50,100,0,7.26,44.63
101,2010,50,200,0,4.436,54.21
101,2010,50,300,0,3.678,57.32
101,2010,50,400,0,3.616,57.06
101,2010,50,500,0,4.319,53.83
101,2010,50,600,0,3.52,56.93
101,2010,50,700,0,3.52,56.76
101,2010,50,800,0,3.986,53.2
101,2010,50,900,0,7.81,43.35
101,2010,50,1000,0,9.79,41.94
101,2010,50,1100,0,13.89,29.95
101,2010,50,1200,0,15.57,25.96
101,2010,50,1300,0,17.39,20.4
101,2010,50,1400,0,17.38,21.26
101,2010,50,1500,0,18.07,16.15
101,2010,50,1600,0,19.65,13.82
101,2010,50,1700,0,18.88,14.51
101,2010,50,1800,0,18.29,14.12
101,2010,50,1900,0,15.05,18.97
101,2010,50,2000,0,10.58,29.61
101,2010,50,2100,0,10.17,32.05
101,2010,50,2200,0,11.77,27.1
101,2010,50,2300,0,11.44,30.66
101,2010,50,2400,0,7.38,43.23
102,2010,50,2400,12.59,4443
101,2010,51,100,0,7.56,42.13
101,2010,51,200,0,8.29,41.24
101,2010,51,300,0,8.16,43.53
101,2010,51,400,0,8.92,45.33
101,2010,51,500,0,9.35,44.03
101,2010,51,600,0,9.42,40.64
101,2010,51,700,0,8.05,45.19
101,2010,51,800,0,8.75,38.21
101,2010,51,900,0,10.28,30.59
101,2010,51,1000,0,13.36,19.25
101,2010,51,1100,0,14.37,19.67
101,2010,51,1200,0,14.34,22.67
101,2010,51,1300,0,15.27,19.87
101,2010,51,1400,0,15.23,19.97
101,2010,51,1500,0,13.3,28.24
101,2010,51,1600,0,10.88,47.29
101,2010,51,1700,.3,1.858,89
101,2010,51,1800,.7,3.704,87.8
101,2010,51,1900,.6,5.834,69.05
101,2010,51,2000,.5,5.002,74.3
101,2010,51,2100,.5,4.404,80.5
101,2010,51,2200,.4,4.511,81.9
101,2010,51,2300,.2,4.71,78.6
101,2010,51,2400,0,4.672,81.2
102,2010,51,2400,12.65,4443
101,2010,52,100,0,4.637,79.4
101,2010,52,200,0,3.545,87
101,2010,52,300,0,3.182,89.7
101,2010,52,400,0,3.154,89.6
101,2010,52,500,0,3.021,88.9
101,2010,52,600,0,2.422,89
101,2010,52,700,0,2.289,90.9
101,2010,52,800,0,2.256,85.1
101,2010,52,900,0,5.883,73.2
101,2010,52,1000,0,8.46,61.46
101,2010,52,1100,0,10.8,49.83
101,2010,52,1200,0,10.73,46.01
101,2010,52,1300,0,12.25,47.27
101,2010,52,1400,0,12.04,39.65
101,2010,52,1500,0,14.3,28.35
101,2010,52,1600,0,14.75,32.16
101,2010,52,1700,0,12.83,33.52
101,2010,52,1800,0,12.18,32.67
101,2010,52,1900,0,10.56,47.86
101,2010,52,2000,0,9.73,50.43
101,2010,52,2100,0,9.18,48.21
101,2010,52,2200,0,8.58,50.21
101,2010,52,2300,0,7.99,52.01
101,2010,52,2400,0,7.36,59.13
102,2010,52,2400,12.58,4443
101,2010,53,100,0,7.95,53.61
101,2010,53,200,0,5.763,63.82
101,2010,53,300,0,6.532,61.1
101,2010,53,400,0,6.333,64.09
101,2010,53,500,0,7.26,44.7
101,2010,53,600,0,6,63.8
101,2010,53,700,0,6.998,52.19
101,2010,53,800,0,5.801,63.99
101,2010,53,900,0,7.5,60.44
101,2010,53,1000,0,7.88,57.29
101,2010,53,1100,0,9.08,49.31
101,2010,53,1200,0,11.66,37
101,2010,53,1300,0,10.96,45.94
101,2010,53,1400,.1,8.83,64.66
101,2010,53,1500,.2,8.77,63.07
101,2010,53,1600,.3,10.27,53.96
101,2010,53,1700,.1,9.91,52.73
101,2010,53,1800,0,6.284,81
101,2010,53,1900,.4,4.562,86.5
101,2010,53,2000,.5,3.539,90
101,2010,53,2100,.5,3.938,76.2
101,2010,53,2200,.4,4.178,69.26
101,2010,53,2300,.4,1.787,87.5
101,2010,53,2400,.3,1.757,90.1
102,2010,53,2400,12.63,4443
101,2010,54,100,.3,2.256,79.5
101,2010,54,200,.3,1.923,78.5
101,2010,54,300,.3,1.025,78.8
101,2010,54,400,0,-.2,85.3
101,2010,54,500,0,-.027,76.1
101,2010,54,600,0,-.293,71.5
101,2010,54,700,0,-1.458,74.9
101,2010,54,800,0,-1.092,69.13
101,2010,54,900,0,.572,66.07
101,2010,54,1000,0,1.957,44.52
101,2010,54,1100,0,3.174,44.14
101,2010,54,1200,0,4.53,43.17
101,2010,54,1300,0,5.527,42.33
101,2010,54,1400,0,7.16,31.56
101,2010,54,1500,.1,8.31,28.86
101,2010,54,1600,0,8.8,28.32
101,2010,54,1700,0,8.57,21.94
101,2010,54,1800,0,10.23,20.45
101,2010,54,1900,0,6.38,32.55
101,2010,54,2000,0,2.572,55.61
101,2010,54,2100,0,2.286,55.56
101,2010,54,2200,0,1.89,54.13
101,2010,54,2300,0,1.426,52.84
101,2010,54,2400,0,.566,56.01
102,2010,54,2400,12.55,4443
101,2010,55,100,0,.702,53.91
101,2010,55,200,0,.706,52.59
101,2010,55,300,0,.306,53.95
101,2010,55,400,0,-.559,58.11
101,2010,55,500,0,-.26,55.82
101,2010,55,600,0,-.592,57.48
101,2010,55,700,0,-.193,54.88
101,2010,55,800,0,-.16,55.25
101,2010,55,900,0,3.435,47.99
101,2010,55,1000,0,6.178,34.07
101,2010,55,1100,0,8.45,32.45
